NCNN算子,软件难度分级,硬件难度分级结果
swish,L2,H2
concat,L1,H1
eltwise,L2,H1
sigmoid,L2,H2
innerproduct,L2,H2
dropout,L1,H1
tanh,L2,H2
batchnorm,L2,H1
relu,L1,H1
Convolution1d,L2,H2
softmax,L2,H2
pooling,L2,H1
convolutiondepthwise,L2,H1
lstm,L2,H2
gelu,L2,H2
slice,L1,H1
scale,L2,H2
reshape,L2,H2
binaryop,L2,H2
interp,L2,H2
lrn,L2,H2
convolution,L2,H2
Deconvolution,L2,H2
ShuffleChannel,L1,H2
GroupNorm,L2,H2
Flatten,L2,H2
DeconvolutionDepthWise,L2,H2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,